"id","nome","nome-2"
1,"Alleyoop","Entrada do Slide"
2,"Fake","Entrada do Slide"
3,"Fullcab","Entrada do Slide"
4,"Halfcab","Entrada do Slide"
5,"Truespin","Entrada do Slide"
6,"Zerospin","Entrada do Slide"
7,"270","Entrada do Slide"
8,"360","Entrada do Slide"
9,"540","Entrada do Slide"
10,"720","Entrada do Slide"
11,"Switch","Base do Slide"
12,"Backside","Lado do Slide"
13,"Frontside","Lado do Slide"
14,"Farside","Lado do Slide"
15,"Negative","Lado do Slide"
16,"Top","Lado do Slide"
17,"Top Negative","Lado do Slide"
18,"360","Variação"
19,"Stepover","Variação"
20,"180","Saída do Slide"
21,"360","Saída do Slide"
22,"540","Saída do Slide"
23,"720","Saída do Slide"
